HomeTeam,AwayTeam,era,HomeGoalsMeanL5Venuedpd,AwayGoalsMeanL5Venuedpd,HomeGoalsConcededL5Venuedpd,AwayGoalsConcededL5Venuedpd,HomeGoalDFMeanL5Venuedpd,AwayGoalDFMeanL5Venuedpd,HomePointsL5Venuedpd,AwayPointsL5Venuedpd,WinStreakL5Home,WinStreakL5Away,HomeOdds,DrawOdds,AwayOdds,HomeProb,DrawProb,AwayProb,MatchBalance,HomeGoalsConcededL5,HomeGoalsMeanL5,HomeShotsOTMeanL10,HomeGoalDFMeanL10,HomeGoalDFMeanL5,HomePointsMeanL5,HomePointsMeanL10,HomeGoalsMeanL10,HomeGoalsConcededL10,Homewin_streak,HomeH2HL5,HomeRedCardL2,AwayGoalsConcededL5,AwayGoalsMeanL5,AwayShotsOTMeanL10,AwayGoalDFMeanL10,AwayGoalDFMeanL5,AwayPointsMeanL5,AwayPointsMeanL10,AwayGoalsMeanL10,AwayGoalsConcededL10,Awaywin_streak,AwayH2HL5,AwayRedCardL2,HomeAttackVsAwayDefense,AwayAttackVsHomeDefense,GoalFormDiffL5,FormDiff
Ath Bilbao,Osasuna,0,2.0,0.8,0.8,2.0,1.2,-1.8,2.4,0.2,3,0,1.73,3.6,4.75,0.5420741468672235,0.26049674280008245,0.19742911033269403,0.3446450365345295,2.6,1.8,5.6,-0.3,-0.8,1.2,1.3,1.8,2.1,0,1.4,1.0,1.4,1.6,4.5,0.0,0.2,1.8,1.4,1.2,1.2,1,1.4,0.5,0.40000000000000013,-1.0,-1.0,-0.6000000000000001
Mallorca,Malaga,0,1.2,0.4,0.4,1.2,0.8,-1.0,2.0,0.8,0,0,1.73,3.75,4.5,0.5417770286539851,0.24993980255237178,0.20828316879364314,0.33349385986034197,1.2,1.6,4.5,0.2,0.4,2.0,1.7,1.3,1.1,1,1.2,0.0,1.8,0.4,3.8,-1.0,-1.4,0.6,0.7,0.9,1.9,0,1.2,0.0,-0.19999999999999996,-0.7999999999999999,1.7999999999999998,1.4
Santander,La Coruna,0,1.4,0.4,0.4,1.4,1.0,-1.6,2.0,0.8,0,0,2.2,3.2,3.4,0.4283464566929133,0.2944881889763779,0.27716535433070866,0.15118110236220467,2.2,1.2,5.2,-0.5,-1.0,0.8,1.1,1.0,1.5,0,0.4,0.5,0.8,1.6,5.4,-0.4,0.8,2.0,1.2,1.1,1.5,1,2.2,0.0,0.3999999999999999,-0.6000000000000001,-1.8,-1.2
Valencia,Almeria,0,1.4,1.0,1.0,1.4,0.4,-0.2,1.6,0.8,1,0,1.33,5.0,9.0,0.7073247406475951,0.1881483810122603,0.10452687834014461,0.6027978623074505,1.2,1.0,4.0,0.2,-0.2,1.0,1.5,1.3,1.1,0,2.0,0.5,2.4,0.6,4.2,-1.0,-1.8,0.6,0.7,0.6,1.6,0,0.8,0.0,-1.4,-0.6,1.6,0.4
Barcelona,Real Madrid,0,2.4,0.6,0.6,2.4,1.8,1.4,2.6,2.6,3,3,2.1,3.3,3.5,0.4471544715447154,0.2845528455284553,0.26829268292682923,0.17886178861788615,0.4,4.2,8.6,2.4,3.8,3.0,2.8,3.0,0.6,6,2.4,0.0,0.6,3.4,8.2,2.6,2.8,3.0,2.8,3.2,0.6,7,0.6,0.0,3.6,3.0,1.0,0.0
Real Madrid,Valencia,0,4.4,0.6,0.6,4.4,3.8,0.0,3.0,1.4,9,0,1.4,4.5,7.5,0.6676557863501484,0.20771513353115725,0.12462908011869436,0.5430267062314541,1.4,2.2,7.4,2.0,0.8,2.4,2.5,3.0,1.0,0,1.8,0.5,1.0,1.2,4.2,0.2,0.2,1.6,1.5,1.3,1.1,1,1.2,0.5,1.2000000000000002,-0.19999999999999996,0.6000000000000001,0.7999999999999998
Osasuna,Barcelona,0,2.2,0.4,0.4,2.2,1.8,3.0,2.6,3.0,3,8,15.0,6.0,1.2,0.0625,0.15625,0.78125,0.71875,1.6,1.0,4.4,0.1,-0.6,1.2,1.4,1.2,1.1,0,0.8,0.0,0.4,4.8,8.4,2.8,4.4,3.0,2.8,3.3,0.5,7,2.0,0.0,0.6,3.1999999999999997,-5.0,-1.8
Levante,Ath Madrid,0,1.4,1.2,1.2,1.4,0.2,-0.8,1.4,0.8,1,1,4.2,3.5,1.83,0.2224653537563822,0.26695842450765866,0.5105762217359592,0.28811086797957697,1.8,1.2,3.1,-0.2,-0.6,0.6,1.1,1.1,1.3,0,0.0,0.0,1.6,2.0,5.4,0.1,0.4,1.4,1.4,1.5,1.4,0,3.0,0.0,-0.40000000000000013,0.19999999999999996,-1.0,-0.7999999999999999
Almeria,Zaragoza,0,0.6,2.4,2.4,0.6,-1.8,-0.8,0.6,0.4,0,0,2.2,3.2,3.4,0.4283464566929133,0.2944881889763779,0.27716535433070866,0.15118110236220467,2.6,0.6,4.4,-1.0,-2.0,0.4,0.7,0.7,1.7,0,1.0,0.0,1.8,1.2,3.8,-0.7,-0.6,1.0,0.7,0.9,1.6,0,1.75,1.0,-1.2000000000000002,-1.4000000000000001,-1.4,-0.6
Espanol,Sp Gijon,0,1.6,0.2,0.2,1.6,1.4,-1.0,3.0,0.4,7,0,1.62,3.75,5.5,0.5791912384161751,0.2502106149957877,0.17059814658803707,0.4085930918281381,1.0,1.4,5.3,0.1,0.4,2.0,1.9,1.1,1.0,2,1.0,0.0,1.4,0.6,3.0,-0.8,-0.8,0.4,0.6,0.7,1.5,0,1.75,0.0,0.0,-0.4,1.2000000000000002,1.6
